Name,Age,Team,League,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Zach Pop,26,TOR,AL,1,1,0.5,6.59,15,0,2,0,0,0,13.2,11,11,10,4,6,0,14,0,0,1,56,65,6.36,1.244,7.2,2.6,4.0,9.2,2.33
Ryan Pressly,34,HOU,AL,2,2,0.5,2.84,44,0,36,0,0,23,44.1,31,20,14,5,9,0,49,0,0,1,172,148,3.15,0.902,6.3,1.0,1.8,9.9,5.44
Quinn Priester,22,PIT,NL,0,1,0.0,11.81,1,1,0,0,0,0,5.1,7,7,7,2,2,0,2,0,0,0,25,40,8.54,1.688,11.8,3.4,3.4,3.4,1.0
Austin Pruitt,33,OAK,AL,2,6,0.25,3.96,28,5,7,0,0,0,36.1,37,18,16,5,7,1,21,0,0,1,149,103,4.5,1.211,9.2,1.2,1.7,5.2,3.0
A.J. Puk ,28,MIA,NL,4,4,0.5,4.26,33,0,27,0,0,15,31.2,30,19,15,5,6,1,39,1,0,1,136,103,3.54,1.137,8.5,1.4,1.7,11.1,6.5
Cal Quantrill,28,CLE,AL,2,6,0.25,6.45,13,13,0,0,0,0,67.0,83,49,48,8,22,0,38,5,0,4,307,64,4.92,1.567,11.1,1.1,3.0,5.1,1.73
Johan Quezada,28,MIA,NL,0,0,0.0,40.5,1,0,0,0,0,0,0.2,1,3,3,0,5,0,0,0,0,0,8,16,25.79,9.0,13.5,0.0,67.5,0.0,0.0
José Quijada ,27,LAA,AL,0,1,0.0,6.0,10,0,4,0,0,4,9.0,8,7,6,0,3,0,8,2,0,0,41,77,3.18,1.222,8.0,0.0,3.0,8.0,2.67
José Quintana ,34,NYM,NL,0,1,0.0,3.6,1,1,0,0,0,0,5.0,6,2,2,0,0,0,3,0,0,0,20,123,2.09,1.2,10.8,0.0,0.0,5.4,0.0
Cole Ragans ,25,TOT,AL,2,3,0.4,5.22,18,1,1,0,0,0,29.1,24,18,17,4,16,1,27,1,0,2,126,86,4.96,1.364,7.4,1.2,4.9,8.3,1.69
